video_hashid,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00320001_2024-01-16_4_f70629e976,0:05:39,0.58,0.26,0.74,True,False,True,0.4
00320001_2024-01-16_4_f70629e976,0:06:13,0.83,0.98,0.99,True,True,True,0.4
00320001_2024-01-31_2_b984266ce8,0:07:39,0.53,0.4,0.45,True,True,True,0.4
00320001_2024-02-04_2_fc1ead048e,0:03:08,0.59,0.47,0.63,True,True,True,0.4
00320001_2024-02-10_1_61eaa6a53c,0:05:04,0.35,0.45,0.43,False,True,True,0.4
00320001_2024-02-10_3_9da1390beb,0:15:17,0.4,0.48,0.43,True,True,True,0.4
00320001_2024-02-17_1_aa16f266cc,0:00:24,0.89,0.96,0.95,True,True,True,0.4
00320001_2024-02-17_3_195c6f8833,0:03:55,0.38,0.37,0.34,False,False,False,0.4
00320001_2024-02-23_1_0329872eb7,0:13:22,0.24,0.2,0.27,False,False,False,0.4
00320001_2024-02-23_1_42fdd0d9e7,0:12:34,0.32,0.18,0.43,False,False,True,0.4
00320001_2024-02-23_3_82c3b60b5c,0:00:48,0.38,0.22,0.69,False,False,True,0.4
00320001_2024-02-24_1_2cbb101b1b,0:13:10,0.32,0.18,0.65,False,False,True,0.4
00320001_2024-03-03_3_830c1099c2,0:01:17,0.22,0.22,0.28,False,False,False,0.4
00320001_2024-03-17_1_8d4750d415,0:10:34,0.95,1.02,1.01,True,True,True,0.4
00320001_2024-03-17_2_62f3f6ae06,0:07:39,0.34,0.37,0.36,False,False,False,0.4
00320001_2024-03-20_1_c6f26c2706,0:10:30,0.25,0.2,0.4,False,False,True,0.4
00320001_2024-03-23_2_5e45823bed,0:10:55,0.15,0.22,0.28,False,False,False,0.4
00320001_2024-03-30_1_78be52948e,0:03:46,0.35,0.32,0.3,False,False,False,0.4
00320001_2024-03-31_3_2b54717906,0:00:19,0.43,0.48,0.45,True,True,True,0.4
00320001_2024-04-07_4_a582e11182,0:08:04,0.26,0.16,0.66,False,False,True,0.4
00320001_2024-04-14_1-1_6a30aa4a79,0:12:26,0.35,0.41,0.41,False,True,True,0.4
00320001_2024-04-14_2-1_e72ea5aed2,0:06:51,0.19,0.26,0.35,False,False,False,0.4
00320001_2024-04-14_2-1_e72ea5aed2,0:10:41,0.16,0.16,0.15,False,False,False,0.4
00320001_2024-04-14_3-1_a11ba64829,0:02:25,0.13,0.16,0.13,False,False,False,0.4
00320001_2024-04-21_3_4e197ecf52,0:03:53,0.39,0.24,0.71,False,False,True,0.4
00320001_2024-04-27_2_930ecc098c,0:08:30,0.22,0.23,0.53,False,False,True,0.4
00320001_2024-05-01_2_03e793f5d9,0:02:12,0.78,0.87,0.87,True,True,True,0.4
00320001_2024-05-04_1_f9a42af897,0:06:38,0.77,0.93,0.91,True,True,True,0.4
00320001_2024-05-04_4_793879d386,0:04:37,0.24,0.22,0.16,False,False,False,0.4
00320001_2024-05-11_1_1aa5837d4a,0:03:22,0.16,0.18,0.14,False,False,False,0.4
00320001_2024-05-19_1_4da59c8d09,0:03:54,0.83,0.77,0.77,True,True,True,0.4
00320001_2024-05-26_2_5d3505e522,0:11:42,0.88,0.97,0.94,True,True,True,0.4
00320001_2024-06-02_3_24aa1a230f,0:02:38,0.22,0.24,0.23,False,False,False,0.4
00320001_2024-06-09_1_1331fea500,0:01:15,0.61,0.71,0.76,True,True,True,0.4
