superseded_gcp_name_feb25,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00510002_2024-11-18_1_8fd6907ea6,0:04:21,0.27,0.29,0.25,False,False,False,0.4
00510002_2024-11-18_1_8fd6907ea6,0:08:14,0.31,0.26,0.45,False,False,True,0.4
00510002_2024-11-18_2_8f0a83618d,0:01:04,0.41,0.5,0.44,True,True,True,0.4
00510002_2024-11-18_2_8f0a83618d,0:09:32,0.91,0.93,0.93,True,True,True,0.4
00510002_2024-11-18_2_8f0a83618d,0:12:25,0.57,0.24,0.94,True,False,True,0.4
00510002_2024-11-18_3_81470b6f8f,0:01:41,0.17,0.2,0.18,False,False,False,0.4
00510002_2024-11-18_3_81470b6f8f,0:05:21,0.8,0.86,0.86,True,True,True,0.4
00510002_2024-11-18_5_85d87ae793,0:04:17,0.64,0.59,0.67,True,True,True,0.4
00510002_2024-11-19_1_4dfa6b038c,0:10:20,0.61,0.79,0.75,True,True,True,0.4
00510002_2024-11-19_1_7d2a3af0b6,0:03:14,0.29,0.21,0.66,False,False,True,0.4
00510002_2024-11-19_2_b98b78ef2b,0:05:00,0.19,0.19,0.29,False,False,False,0.4
00510002_2024-11-25_1_66fafe9974,0:11:26,0.33,0.34,0.78,False,False,True,0.4
00510002_2024-11-25_2_b1bc0249ff,0:04:40,0.2,0.21,0.43,False,False,True,0.4
00510002_2024-11-25_2_b1bc0249ff,0:05:17,0.5,0.55,0.53,True,True,True,0.4
00510002_2024-11-25_3_30c40b1523,0:03:47,0.21,0.27,0.24,False,False,False,0.4
00510002_2024-11-25_3_30c40b1523,0:05:00,0.84,0.96,0.95,True,True,True,0.4
00510002_2024-11-25_3_30c40b1523,0:05:46,0.71,0.22,0.78,True,False,True,0.4
00510002_2024-11-25_4_4a9d08cfee,0:01:33,0.66,0.81,0.78,True,True,True,0.4
00510002_2024-11-25_4_4a9d08cfee,0:03:57,0.4,0.63,0.61,True,True,True,0.4
00510002_2024-11-25_4_4a9d08cfee,0:07:26,0.9,1.04,1.04,True,True,True,0.4
00510002_2024-11-25_4_4a9d08cfee,0:08:45,0.73,0.28,0.82,True,False,True,0.4
00510002_2024-11-26_2_6f3742a5bc,0:10:41,0.16,0.17,0.16,False,False,False,0.4
00510002_2024-11-26_3_30358f2c45,0:03:05,0.3,0.45,0.43,False,True,True,0.4
00510002_2024-12-02_1_c1642989ca,0:10:09,0.66,0.76,0.46,True,True,True,0.4
00510002_2024-12-02_3_42b3d034ad,0:08:51,0.27,0.34,0.31,False,False,False,0.4
00510002_2024-12-02_3_42b3d034ad,0:09:15,0.29,0.39,0.36,False,False,False,0.4
00510002_2024-12-02_3_42b3d034ad,0:11:03,0.23,0.19,0.6,False,False,True,0.4
00510002_2024-12-02_3_42b3d034ad,0:11:08,0.25,0.31,0.29,False,False,False,0.4
00510002_2024-12-02_4_650803353a,0:02:12,0.17,0.22,0.45,False,False,True,0.4
